"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	12	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	22	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	40	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	38	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	113	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	195	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	196	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	196	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	16	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	28	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	46	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	97	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	137	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	134	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"55-64 years"	"55-64"	10	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"75-84 years"	"75-84"	15	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"85+ years"	"85+"	27	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"75-84 years"	"75-84"	15	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"85+ years"	"85+"	22	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"55-64 years"	"55-64"	10	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"65-74 years"	"65-74"	14	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"75-84 years"	"75-84"	19	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"85+ years"	"85+"	27	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"65-74 years"	"65-74"	14	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"75-84 years"	"75-84"	27	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"85+ years"	"85+"	24	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"65-74 years"	"65-74"	16	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"75-84 years"	"75-84"	19	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"85+ years"	"85+"	16	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	10	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	17	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	19	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	23	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	10	0.0%
	"Idaho"	"16"	"Bear Lake County, ID"	"16007"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"55-64 years"	"55-64"	12	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"65-74 years"	"65-74"	22	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"75-84 years"	"75-84"	34	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"85+ years"	"85+"	25	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"55-64 years"	"55-64"	13	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"65-74 years"	"65-74"	32	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"75-84 years"	"75-84"	34	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"85+ years"	"85+"	39	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"55-64 years"	"55-64"	10	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"65-74 years"	"65-74"	31	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"75-84 years"	"75-84"	38	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"85+ years"	"85+"	28	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"55-64 years"	"55-64"	23	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"65-74 years"	"65-74"	47	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"75-84 years"	"75-84"	49	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"85+ years"	"85+"	22	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"45-54 years"	"45-54"	10	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"55-64 years"	"55-64"	15	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"65-74 years"	"65-74"	30	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"75-84 years"	"75-84"	40	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"85+ years"	"85+"	39	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	13	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	38	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	38	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	27	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	10	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	28	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	19	0.0%
	"Idaho"	"16"	"Benewah County, ID"	"16009"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"15-24 years"	"15-24"	11	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"35-44 years"	"35-44"	15	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"45-54 years"	"45-54"	21	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"55-64 years"	"55-64"	54	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"65-74 years"	"65-74"	81	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"75-84 years"	"75-84"	107	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"85+ years"	"85+"	114	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"25-34 years"	"25-34"	12	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"45-54 years"	"45-54"	24	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"55-64 years"	"55-64"	41	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"65-74 years"	"65-74"	81	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"75-84 years"	"75-84"	99	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"85+ years"	"85+"	102	0.1%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bingham County, ID"	"16011"	"2020"	"2020"	"< 1 year"	"1"	0	0.0%
